YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Autauga County,48314,51868,55422,19.6,7397,13.5,2013,01,001
2013,Baldwin County,44089,47539,50989,20.8,27429,14.2,2013,01,003
2013,Barbour County,28134,30981,33828,42.4,6654,28.2,2013,01,005
2013,Bibb County,36433,39781,43129,35.6,4689,23.1,2013,01,007
2013,Blount County,40858,44392,47926,26.6,9878,17.2,2013,01,009
2013,Bullock County,23458,25937,28416,44.2,3123,35.2,2013,01,011
2013,Butler County,28262,31041,33820,39.8,5731,28.8,2013,01,013
2013,Calhoun County,35135,37898,40661,28.7,24338,21.4,2013,01,015
2013,Chambers County,31416,33883,36350,34.7,7578,22.5,2013,01,017
2013,Cherokee County,34040,37478,40916,31.6,5199,20.1,2013,01,019
2013,Chilton County,38501,41348,44195,33.7,8841,20.3,2013,01,021
2013,Choctaw County,30281,33581,36881,31.0,2976,22.4,2013,01,023
2013,Clarke County,31267,34593,37919,35.3,6318,25.4,2013,01,025
2013,Clay County,30182,33344,36506,28.9,2590,19.6,2013,01,027
2013,Cleburne County,36588,40407,44226,27.6,2787,18.9,2013,01,029
2013,Coffee County,40557,44666,48775,27.9,9315,18.5,2013,01,031
2013,Colbert County,37377,40032,42687,25.8,8794,16.3,2013,01,033
2013,Conecuh County,24680,27196,29712,43.4,3900,30.5,2013,01,035
2013,Coosa County,31727,35175,38623,30.9,2141,19.9,2013,01,037
2013,Covington County,32334,35187,38040,29.2,7156,19.2,2013,01,039
2013,Crenshaw County,30817,34105,37393,31.3,3069,22.2,2013,01,041
2013,Cullman County,37604,40142,42680,22.6,13076,16.4,2013,01,043
2013,Dale County,39127,41805,44483,28.2,9804,20.1,2013,01,045
2013,Dallas County,25236,27524,29812,49.6,12975,31.3,2013,01,047
2013,DeKalb County,33632,36713,39794,30.3,14044,20.0,2013,01,049
2013,Elmore County,47480,51650,55820,20.2,10071,13.4,2013,01,051
2013,Escambia County,30932,33455,35978,37.1,9615,27.8,2013,01,053
2013,Etowah County,35818,38587,41356,28.1,19938,19.6,2013,01,055
2013,Fayette County,32265,35661,39057,29.6,3440,20.7,2013,01,057
2013,Franklin County,30438,33332,36226,36.3,7194,23.1,2013,01,059
2013,Geneva County,32367,35378,38389,38.2,6224,23.6,2013,01,061
2013,Greene County,23314,25864,28414,50.5,3040,35.0,2013,01,063
2013,Hale County,30908,33597,36286,38.8,3877,25.7,2013,01,065
2013,Henry County,38570,41590,44610,28.7,3102,18.2,2013,01,067
2013,Houston County,37582,39636,41690,30.1,18527,18.1,2013,01,069
2013,Jackson County,34273,37204,40135,28.1,8863,16.9,2013,01,071
2013,Jefferson County,43476,45024,46572,26.8,122167,18.9,2013,01,073
2013,Lamar County,33136,36475,39814,30.8,3221,23.0,2013,01,075
2013,Lauderdale County,41855,43586,45317,24.5,15526,17.1,2013,01,077
2013,Lawrence County,37740,40713,43686,26.2,5798,17.4,2013,01,079
2013,Lee County,41677,44647,47617,21.8,29094,19.8,2013,01,081
2013,Limestone County,46767,50148,53529,21.2,13621,15.9,2013,01,083
2013,Lowndes County,26809,29734,32659,53.1,3919,37.0,2013,01,085
2013,Macon County,26715,29228,31741,46.4,6084,33.8,2013,01,087
2013,Madison County,55961,58258,60555,19.6,47136,13.9,2013,01,089
2013,Marengo County,30587,33749,36911,50.0,6268,31.5,2013,01,091
2013,Marion County,31430,34162,36894,30.5,6117,20.8,2013,01,093
2013,Marshall County,35722,38399,41076,29.5,16870,18.1,2013,01,095
2013,Mobile County,40475,42278,44081,31.3,82625,20.3,2013,01,097
2013,Monroe County,29402,32696,35990,39.1,6519,29.7,2013,01,099
2013,Montgomery County,42151,44013,45875,33.0,48080,22.1,2013,01,101
2013,Morgan County,40952,44079,47206,25.1,20479,17.4,2013,01,103
2013,Perry County,22931,25461,27991,52.6,3360,36.4,2013,01,105
2013,Pickens County,29266,32314,35362,36.3,4490,23.8,2013,01,107
2013,Pike County,33131,35944,38757,34.8,7969,25.3,2013,01,109
2013,Randolph County,32044,35121,38198,34.1,5202,23.4,2013,01,111
2013,Russell County,33623,35762,37901,34.0,14070,23.9,2013,01,113
2013,St. Clair County,49124,52437,55750,20.7,11779,14.0,2013,01,115
2013,Shelby County,65475,68718,71961,11.2,16664,8.3,2013,01,117
2013,Sumter County,22037,24504,26971,48.8,4756,38.0,2013,01,119
2013,Talladega County,35625,38505,41385,28.9,15399,19.8,2013,01,121
2013,Tallapoosa County,34611,37747,40883,36.3,9025,22.2,2013,01,123
2013,Tuscaloosa County,43870,45959,48048,23.4,32728,17.2,2013,01,125
2013,Walker County,33857,37193,40529,32.2,14293,22.0,2013,01,127
2013,Washington County,37916,41115,44314,29.2,3298,19.7,2013,01,129
2013,Wilcox County,21038,23184,25330,50.1,3624,32.4,2013,01,131
2013,Winston County,30921,33578,36235,33.9,5215,21.9,2013,01,133
2013,Aleutians East Borough,52816,56856,60896,13.3,470,15.2,2013,02,013
2013,Aleutians West Census Area,69176,74088,79000,7.6,426,8.1,2013,02,016
2013,Anchorage Borough,73030,76362,79694,10.2,22753,7.7,2013,02,020
2013,Bethel Census Area,39645,42876,46107,30.8,4384,25.1,2013,02,050
2013,Bristol Bay Borough,59052,65283,71514,10.4,89,9.5,2013,02,060
2013,Denali Borough,61423,68103,74783,3.9,100,5.4,2013,02,068
2013,Dillingham Census Area,43666,47930,52194,28.6,1037,20.9,2013,02,070
2013,Fairbanks North Star Borough,63486,67204,70922,11.2,8497,8.8,2013,02,090
2013,Haines Borough,49780,55295,60810,17.8,295,11.4,2013,02,100
2013,Hoonah-Angoon Census Area,38319,42276,46233,29.1,412,19.2,2013,02,105
2013,Juneau Borough,79042,83642,88242,9.7,2394,7.5,2013,02,110
2013,Kenai Peninsula Borough,56749,61629,66509,13.9,5623,10.1,2013,02,122
2013,Ketchikan Gateway Borough,57073,62619,68165,14.3,1391,10.3,2013,02,130
2013,Kodiak Island Borough,58535,64782,71029,9.8,1191,8.5,2013,02,150
2013,Lake and Peninsula Borough,39786,43936,48086,24.4,284,17.3,2013,02,164
2013,Matanuska-Susitna Borough,69422,72371,75320,12.0,8795,9.4,2013,02,170
2013,Nome Census Area,42693,46471,50249,28.4,2547,26.3,2013,02,180
2013,North Slope Borough,67416,74174,80932,16.7,1276,13.3,2013,02,185
2013,Northwest Arctic Borough,50255,54600,58945,28.6,1780,23.3,2013,02,188
2013,Petersburg Census Area,53019,58176,63333,13.0,403,10.7,2013,02,195
2013,Prince of Wales-Hyder Census Area,43876,48175,52474,24.1,1003,17.4,2013,02,198
2013,Sitka Borough,60408,66038,71668,12.6,870,9.8,2013,02,220
2013,Skagway Municipality,57432,63930,70428,5.6,42,4.2,2013,02,230
2013,Southeast Fairbanks Census Area,49561,54922,60283,21.3,1114,16.1,2013,02,240
2013,Valdez-Cordova Census Area,57388,63541,69694,10.9,891,9.2,2013,02,261
2013,Wade Hampton Census Area,28952,31274,33596,42.4,2759,34.7,2013,02,270
2013,Wrangell City and Borough,44072,49039,54006,20.7,331,13.9,2013,02,275
2013,Yakutat Borough,51760,56365,60970,26.8,107,16.7,2013,02,282
2013,Yukon-Koyukuk Census Area,32119,35114,38109,30.1,1380,24.4,2013,02,290
2013,Apache County,28162,30252,32342,49.3,27489,38.7,2013,04,001
2013,Cochise County,42555,45294,48033,29.1,23177,18.8,2013,04,003
2013,Coconino County,45602,48732,51862,28.1,29461,23.2,2013,04,005
2013,Gila County,36969,39868,42767,36.5,11744,22.6,2013,04,007
2013,Graham County,40346,43497,46648,26.8,7361,21.6,2013,04,009
2013,Greenlee County,49384,54673,59962,13.8,1040,11.6,2013,04,011
2013,La Paz County,31251,33994,36737,36.9,4643,23.2,2013,04,012
2013,Maricopa County,51495,52066,52637,25.1,696086,17.6,2013,04,013
2013,Mohave County,36545,38560,40575,34.0,42044,21.3,2013,04,015
2013,Navajo County,34614,37182,39750,43.1,33422,31.8,2013,04,017
2013,Pima County,42800,43926,45052,26.5,187646,19.3,2013,04,019
2013,Pinal County,47703,49887,52071,24.3,60575,16.7,2013,04,021
2013,Santa Cruz County,32352,35753,39154,34.7,10528,22.7,2013,04,023
2013,Yavapai County,38437,40486,42535,24.4,34732,16.4,2013,04,025
2013,Yuma County,38437,40498,42559,29.4,37000,19.2,2013,04,027
